date,farm_id,weight
2019-1-1,Farm 0,6760
2019-1-1,Farm 1,8644
2019-1-1,Farm 2,3547
2019-1-2,Farm 0,6824
2019-1-2,Farm 1,8723
2019-1-2,Farm 2,3466
2019-1-3,Farm 0,6846
2019-1-3,Farm 1,8770
2019-1-3,Farm 2,3366
2019-1-4,Farm 0,6694
2019-1-4,Farm 1,8813
2019-1-4,Farm 2,3586
2019-1-5,Farm 0,6830
2019-1-5,Farm 2,3583
2019-1-6,Farm 0,6687
2019-1-6,Farm 1,8786
2019-1-6,Farm 2,3460
2019-1-7,Farm 0,6808
2019-1-7,Farm 1,8653
2019-1-7,Farm 2,3579
2019-1-8,Farm 0,6842
2019-1-8,Farm 1,8714
2019-1-8,Farm 2,3561
2019-1-9,Farm 0,6613
2019-1-9,Farm 1,8789
2019-1-9,Farm 2,3635
2019-1-10,Farm 0,6796
2019-1-10,Farm 1,8775
2019-1-10,Farm 2,3377
2019-1-11,Farm 0,6614
2019-1-11,Farm 1,8793
2019-1-11,Farm 2,3582
2019-1-12,Farm 0,6901
2019-1-12,Farm 1,8715
2019-1-12,Farm 2,3542
2019-1-13,Farm 0,6816
2019-1-13,Farm 1,8750
2019-1-13,Farm 2,3598
2019-1-14,Farm 0,6745
2019-1-14,Farm 1,8648
2019-1-14,Farm 2,3355
2019-1-15,Farm 0,6755
2019-1-15,Farm 1,8621
2019-1-15,Farm 2,3436
2019-1-16,Farm 0,6791
2019-1-16,Farm 1,8747
2019-1-16,Farm 2,3634
2019-1-17,Farm 0,6756
2019-1-17,Farm 1,8662
2019-1-17,Farm 2,3558
2019-1-18,Farm 0,6796
2019-1-18,Farm 1,8698
2019-1-18,Farm 2,3416
2019-1-19,Farm 0,6835
2019-1-19,Farm 1,8703
2019-1-19,Farm 2,3519
2019-1-20,Farm 0,6807
2019-1-20,Farm 1,8768
2019-1-20,Farm 2,3536
2019-1-21,Farm 0,6820
2019-1-21,Farm 1,8766
2019-1-21,Farm 2,3447
2019-1-22,Farm 0,6772
2019-1-22,Farm 1,8742
2019-1-22,Farm 2,3585
2019-1-23,Farm 0,6650
2019-1-23,Farm 1,8764
2019-1-23,Farm 2,3451
2019-1-24,Farm 0,6786
2019-1-24,Farm 1,8836
2019-1-24,Farm 2,3544
2019-1-25,Farm 0,6940
2019-1-25,Farm 1,8742
2019-1-25,Farm 2,3553
2019-1-26,Farm 0,6634
2019-1-26,Farm 1,8696
2019-1-26,Farm 2,3571
2019-1-27,Farm 0,6878
2019-1-27,Farm 1,8760
2019-1-27,Farm 2,3504
2019-1-28,Farm 0,6853
2019-1-28,Farm 1,8772
2019-1-28,Farm 2,3470
2019-1-29,Farm 0,6777
2019-1-29,Farm 1,8733
2019-1-29,Farm 2,3538
2019-1-30,Farm 0,6663
2019-1-30,Farm 1,8594
2019-1-30,Farm 2,3508
2019-1-31,Farm 0,6804
2019-1-31,Farm 1,8714
2019-1-31,Farm 2,3503
2019-2-1,Farm 0,6705
2019-2-1,Farm 1,8779
2019-2-1,Farm 2,3321
2019-2-2,Farm 0,6728
2019-2-2,Farm 1,8687
2019-2-2,Farm 2,3541
